SUBDIVISION,YEAR,FORECAST_RAINFALL
Andaman & Nicobar Islands,2018,3026.9373
Andaman & Nicobar Islands,2019,3044.7605
Andaman & Nicobar Islands,2020,3094.2625
Andaman & Nicobar Islands,2021,3335.9966
Andaman & Nicobar Islands,2022,3121.2449
Andaman & Nicobar Islands,2023,3003.437
Andaman & Nicobar Islands,2024,3077.2356
Andaman & Nicobar Islands,2025,3268.1675
Andaman & Nicobar Islands,2026,3337.779
Andaman & Nicobar Islands,2027,3366.746
Andaman & Nicobar Islands,2028,3158.2378
Andaman & Nicobar Islands,2029,3125.6199
Andaman & Nicobar Islands,2030,3206.147
Arunachal Pradesh,2018,2626.618
Arunachal Pradesh,2019,2900.6133
Arunachal Pradesh,2020,2717.903
Arunachal Pradesh,2021,2934.546
Arunachal Pradesh,2022,2872.9978
Arunachal Pradesh,2023,3018.2537
Arunachal Pradesh,2024,3121.0151
Arunachal Pradesh,2025,3211.31
Arunachal Pradesh,2026,3213.4197
Arunachal Pradesh,2027,3217.8984
Arunachal Pradesh,2028,3462.1023
Arunachal Pradesh,2029,3392.2026
Arunachal Pradesh,2030,3198.1702
Assam & Meghalaya,2018,2572.4255
Assam & Meghalaya,2019,2566.732
Assam & Meghalaya,2020,2488.1545
Assam & Meghalaya,2021,2567.0364
Assam & Meghalaya,2022,2668.9592
Assam & Meghalaya,2023,2682.7524
Assam & Meghalaya,2024,2654.6697
Assam & Meghalaya,2025,2700.2258
Assam & Meghalaya,2026,2811.3267
Assam & Meghalaya,2027,2729.6733
Assam & Meghalaya,2028,2869.4058
Assam & Meghalaya,2029,2905.122
Assam & Meghalaya,2030,3016.5454
Bihar,2018,1210.246
Bihar,2019,1226.7843
Bihar,2020,898.14294
Bihar,2021,1045.2646
Bihar,2022,1194.5841
Bihar,2023,1141.5374
Bihar,2024,1105.1084
Bihar,2025,1189.9744
Bihar,2026,1176.2875
Bihar,2027,1145.3484
Bihar,2028,1014.98663
Bihar,2029,1191.6244
Bihar,2030,1219.7806
Chhattisgarh,2018,932.3892
Chhattisgarh,2019,1118.3586
Chhattisgarh,2020,1180.6761
Chhattisgarh,2021,1138.5009
Chhattisgarh,2022,1124.3132
Chhattisgarh,2023,1188.6095
Chhattisgarh,2024,1224.13
Chhattisgarh,2025,896.49835
Chhattisgarh,2026,1045.2646
Chhattisgarh,2027,1194.5841
Chhattisgarh,2028,1162.5889
Chhattisgarh,2029,1108.9756
Chhattisgarh,2030,1110.4873
Coastal Andhra Pradesh,2018,1098.4967
Coastal Andhra Pradesh,2019,988.75757
Coastal Andhra Pradesh,2020,1138.6879
Coastal Andhra Pradesh,2021,1191.881
Coastal Andhra Pradesh,2022,1206.6189
Coastal Andhra Pradesh,2023,870.8812
Coastal Andhra Pradesh,2024,1062.7712
Coastal Andhra Pradesh,2025,1175.9485
Coastal Andhra Pradesh,2026,1184.9739
Coastal Andhra Pradesh,2027,1091.139
Coastal Andhra Pradesh,2028,1112.2797
Coastal Andhra Pradesh,2029,1194.0039
Coastal Andhra Pradesh,2030,1221.9376
Coastal Karnataka,2018,2777.8875
Coastal Karnataka,2019,3059.0854
Coastal Karnataka,2020,3066.3184
Coastal Karnataka,2021,3069.4673
Coastal Karnataka,2022,3412.9697
Coastal Karnataka,2023,3192.6497
Coastal Karnataka,2024,3189.723
Coastal Karnataka,2025,3249.0703
Coastal Karnataka,2026,3316.423
Coastal Karnataka,2027,3187.3965
Coastal Karnataka,2028,3233.8667
Coastal Karnataka,2029,3223.7856
Coastal Karnataka,2030,3328.8376
East Madhya Pradesh,2018,1188.7549
East Madhya Pradesh,2019,1201.4479
East Madhya Pradesh,2020,1118.4376
East Madhya Pradesh,2021,1043.3386
East Madhya Pradesh,2022,1188.9243
East Madhya Pradesh,2023,1261.254
East Madhya Pradesh,2024,1020.1225
East Madhya Pradesh,2025,1127.2974
East Madhya Pradesh,2026,1222.583
East Madhya Pradesh,2027,1287.2527
East Madhya Pradesh,2028,891.4437
East Madhya Pradesh,2029,1037.9105
East Madhya Pradesh,2030,1179.8763
East Rajasthan,2018,852.6329
East Rajasthan,2019,959.375
East Rajasthan,2020,771.23096
East Rajasthan,2021,1104.578
East Rajasthan,2022,1022.1138
East Rajasthan,2023,959.14087
East Rajasthan,2024,1203.2905
East Rajasthan,2025,1241.4573
East Rajasthan,2026,1125.1249
East Rajasthan,2027,878.1574
East Rajasthan,2028,1185.6256
East Rajasthan,2029,1156.0948
East Rajasthan,2030,1117.6487
East Uttar Pradesh,2018,904.14355
East Uttar Pradesh,2019,846.8733
East Uttar Pradesh,2020,851.5002
East Uttar Pradesh,2021,1009.37103
East Uttar Pradesh,2022,987.9191
East Uttar Pradesh,2023,1007.38794
East Uttar Pradesh,2024,1124.4454
East Uttar Pradesh,2025,1199.4473
East Uttar Pradesh,2026,1222.9948
East Uttar Pradesh,2027,874.6601
East Uttar Pradesh,2028,1065.1022
East Uttar Pradesh,2029,1194.3882
East Uttar Pradesh,2030,1181.4863
Gangetic West Bengal,2018,1438.4131
Gangetic West Bengal,2019,1231.5094
Gangetic West Bengal,2020,1148.0643
Gangetic West Bengal,2021,970.52234
Gangetic West Bengal,2022,1207.423
Gangetic West Bengal,2023,1228.3717
Gangetic West Bengal,2024,1228.5486
Gangetic West Bengal,2025,912.3779
Gangetic West Bengal,2026,1047.5579
Gangetic West Bengal,2027,1204.5537
Gangetic West Bengal,2028,1137.8374
Gangetic West Bengal,2029,1118.0531
Gangetic West Bengal,2030,1170.4647
Gujarat Region,2018,882.32654
Gujarat Region,2019,830.11786
Gujarat Region,2020,1068.6818
Gujarat Region,2021,891.6028
Gujarat Region,2022,1030.1622
Gujarat Region,2023,1065.0402
Gujarat Region,2024,1152.0148
Gujarat Region,2025,1169.1677
Gujarat Region,2026,1161.2415
Gujarat Region,2027,1059.9435
Gujarat Region,2028,1136.688
Gujarat Region,2029,1190.0082
Gujarat Region,2030,1187.418
Haryana Delhi & Chandigarh,2018,549.4656
Haryana Delhi & Chandigarh,2019,602.253
