SUBDIVISION,Average_Annual_Rainfall
Madhya Maharashtra,881.4316239316241
South Interior Karnataka,1037.5555555555557
Kerala,2914.2470085470077
East Rajasthan,656.5017094017094
Tamil Nadu,940.4700854700853
Matathwada,791.7452991452991
Chhattisgarh,1369.1367521367529
East Madhya Pradesh,1203.0350427350434
Lakshadweep,1570.429666191652
Gangetic West Bengal,1490.6128205128207
Punjab,591.436752136752
Konkan & Goa,2987.531623931625
Jammu & Kashmir,1141.155121428307
Gujarat Region,917.8273504273501
Saurashtra & Kutch,496.3982905982903
West Madhya Pradesh,948.148283821469
Himachal Pradesh,1256.781196581197
Coastal Karnataka,3380.644865018051
Assam & Meghalaya,2579.133333333334
Orissa,1455.448717948717
Jharkhand,1307.6897435897433
West Uttar Pradesh,823.8991452991452
Arunachal Pradesh,3283.079749925978
Haryana Delhi & Chandigarh,528.4393162393162
Coastal Andhra Pradesh,1050.3042735042734
Sub Himalayan West Bengal & Sikkim,2750.5529914529907
Andaman & Nicobar Islands,2845.109778952426
East Uttar Pradesh,975.8649572649574
Naga Mani Mizo Tripura,2432.7179487179505
Vidarbha,1093.5435897435902
West Rajasthan,294.1256410256411
Rayalseema,764.9880341880342
Telangana,952.9709401709404
Bihar,1196.5632478632476
North Interior Karnataka,717.188888888889
Uttarakhand,1464.4418803418807
