Andaman & Nicobar Islands	2845.11
Arunachal Pradesh	3283.08
Assam & Meghalaya	2579.13
Bihar	1196.56
Chhattisgarh	1369.14
Coastal Andhra Pradesh	1050.30
Coastal Karnataka	3380.64
East Madhya Pradesh	1203.04
East Rajasthan	656.50
East Uttar Pradesh	975.86
Gangetic West Bengal	1490.61
Gujarat Region	917.83
Haryana Delhi & Chandigarh	528.44
Himachal Pradesh	1256.78
Jammu & Kashmir	1141.16
Jharkhand	1307.69
Kerala	2914.25
Konkan & Goa	2987.53
Lakshadweep	1570.43
Madhya Maharashtra	881.43
Matathwada	791.75
Naga Mani Mizo Tripura	2432.72
North Interior Karnataka	717.19
Orissa	1455.45
Punjab	591.44
Rayalseema	764.99
Saurashtra & Kutch	496.40
South Interior Karnataka	1037.56
Sub Himalayan West Bengal & Sikkim	2750.55
Tamil Nadu	940.47
Telangana	952.97
Uttarakhand	1464.44
Vidarbha	1093.54
West Madhya Pradesh	948.15
West Rajasthan	294.13
West Uttar Pradesh	823.90
